
========================================================================================================================
Rank  | Score  | Source          | Category   | Title                               | URL
   10  | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPbmd1NWhva0pOLVNGNUtjYWJPRmpwcnhOUVJNcVRwV2N5eVBadWZmRmgtR2UtMVk2UGhyeHhYbXJ4eEFEeXVIT0dkQm51Qm85STN1NlNOMHFpaWRYMDlrcGtzVzRRNFE2dl9KU3BXQ090MXFwLUMwXzBjR1Y5Ty1OY2Y4S0VkR2tldUNxLVF3?oc=5
   11  | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPY0E3LXlyTHQzQk5HZEJpWXRSZU1tYTBOTmVKckhYelk3WUdaTW9GR1NkbVpOVFNuUHhfS0w0NHBUcDVLdmhCOHFfMXVoVTB6NlM2RThHODdZWXFlT0JuMFptTThRNUUzRmlNNjZOWGllTm1qOVdpWkw0dGVFNVJlWm5DVGlKTloxbWtySUtR?oc=5
   12  | 30.0   | INSIDE          | Business   | 串接美團、京東等平台，百度 AI 助手文心一言用戶數突破 2...   | https://www.inside.com.tw/article/40548-baidu-ernie-assistant-reaches-200m-users
   13  | 29.5   | CMoney投資網誌      | Business   | 【即時新聞】雲端軟體股遭AI重創現跌勢，估值修正浮現併購價值...   | https://news.google.com/rss/articles/CBMikAFBVV95cUxNRWJkYTVoUDQ0YTZ1UTJWMWhvSnNKNmhNUkhjaGFZbm5DVnVrLW9QZVdfUlEzUXM4YkMtR0lSanMwOF9qZU44WFNNUHdSdWh4bkI5MEtvaW40U1Roc1UtTmhSeTVNOGhLc1N4YVQyUmdVR1NmTGxnMEVralJ1LS1ocm5aMFBfNWVKSTQ5N05mRlQ?oc=5
   14  | 28.5   | CMoney投資網誌      | Risk       | 【即時新聞】Intel股價本週強彈11%迎財報，華爾街分析師...   | https://news.google.com/rss/articles/CBMikAFBVV95cUxOT095QU9nWG91ZUxPaTdNekJPMDlsazhMV0ZlZ20waHZMOHZ6V0pyeXpXUFE1SGFwYmZxekhwaktMcVlkN2hMVjFMYjRDVzRhX2Y0dFZUNW0zU3NNbnNvWmFNZkVCQ05JNEhtalZianlHMk5mVkZwNVVCcVZQOHltUFprNFU5M3VxVFV0cTlVMEg?oc=5
   15  | 28.5   | CMoney投資網誌      | Business   | 科技產業迎來新一波AI成長浪潮，2026年美股展望爆棚-CM...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPWTB0U253TUJkLXZMcmxpS3VWQjYzZW9UOHV3RjVhRjFtOUw4VWJ5Nm1ETU43cW9wRURXaHdHTHo1N2hELW1Ia0EySHREZEF5X1RtZkNEWXpZSHNLejlGMG9MZVJmcGFhMFVmRWpfUEhCWWJOU3d0Snlzc1pGVkpMYjJzT1htVVlSbHVRYnZn?oc=5
   16  | 28.5   | CMoney投資網誌      | Business   | 【09:20 即時新聞】羅昇(8374)強攻漲停，機器人AI...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPcERNU2JyZEdOb0g4N0JfaExtWnI0UDlNWFVHQUVneGRCcW91ZFBPRWlVX2ZhMkQyeEFQWlBiXzNMeTlBNWU2czFUaktMMmxBZzBOVDUxaEFOYUVxOFFsMU9VYVdraWRMajl4c2lVcGdYMDN4c1VPU0JjTU5jNDYwT3UydlN5NU5wb2s2M3Fn?oc=5
   17  | 28.5   | CMoney投資網誌      | Business   | 【01/23 產業即時新聞】電子上游-IP/ASIC 族群受...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxQb2ExYlVIb0VEb052TS1fVjQ1VXdPSEFxeXllNUtBRWNVWG1BSGotZkliNFA0VGowS3FmYmFLYXN3YVdhdHhFWjdJNVpqZmFZQjUxZWY3ZzBzVGRBTExwajY0X21LQzRkbEVfN0U4d2d1Rk1ZMGQzdDg1dnA3cE1lSElaSUxLQ3NXTk9tY0tn?oc=5
   18  | 28.5   | CMoney投資網誌      | Business   | 【09:07 即時新聞】精確(3162)強攻漲停，AI伺服器...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPN0VGNHBSQmxWR0JmdG9rYkpHTDZiUFNja3daRFVfMmpZMzRxT1dfcDh1NWw2aGxNaGNMNXlIOTFia25iZjI5WTREVG54UG5XUTBhVXN2WUhuaDF6MWtlRmdvOE9hRXAwODhLMWR5OUhHTHU2eDBCbUNzUGdTQl9qRlF5a1VjYlA2YjFuNVlB?oc=5
   19  | 28.5   | CMoney投資網誌      | Business   | AI驅動潮再起！微軟與亞馬遜搶攻基礎建設，雲端能源成本成科技...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxNRmY3bGFMbHd3N2N3bzJTbVFpS2lsTE5KWGttWFlBTEx1Q0ZJSGhVX21DODB3ZnZVVE40cTF0YXJZQlBLcUhHejltZHZEdnFnbGpKU2tFQ2ZyYnZPdDFpUGhpYkxLNHpmckx1eHBZdXY3WFdYU2ZOYmRQRkotRUpJTHJsUXh1bnRHVi1MajdB?oc=5
   20  | 28.5   | CMoney投資網誌      | Business   | AI席捲數據中心產業！美股科技龍頭加碼佈局算力基礎，產業前景...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxNX1UxbEpvYnRsdDhtZGRQd1hiVkRrTG1Fejc4aF81Mk1YU1lRWWJ5dXZFV0VJU2xNVFAzenhuc2lvRmZJNTRnV1ZwaEpQbFFhdlBKNjZYdWQ5Sk9DaE9ONXZlRVBwamxaV1A3QV9DT2xDX0FYTHFZMWJRc2JyUTJUZVZwVTlSb2VKZW5sRTV3?oc=5
   21  | 28.0   | INSIDE          | Business   | 才剛放行就喊卡！NVIDIA H200 遭中國海關禁入境，供...   | https://www.inside.com.tw/article/40525-nvidia-h200-china-customs-ban-suppliers-halt
   22  | 28.0   | 聯合新聞網           | Industry   | 導入AI演算法加速新藥研發 北醫大學生獲Google博士獎學...   | https://news.google.com/rss/articles/CBMiUEFVX3lxTE45YkIxSFJZSVR3dzVjVVBqQ25Bbkc0UU12bmNnZ2dCUnNBRUhxRGpySXpzaWFsNHgwVDdKYTZmV1c0TWZXUG42SVVUVEFLVm500gFWQVVfeXFMTTN2MnpiM21xb1VULVpPUkRTMGZwc2FRc2Rqd2RzNGFuMGMyWHNpSHNFX0ZjU1Z5UG1sbmdYM3RkOGQ3ZEF5WWN4c0M0N3RyVzE5aEdqZ3c?oc=5
   23  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   24  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   25  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   26  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   27  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   28  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   29  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
   30  | 28.0   | TLDR Tech AI    | Business   | MCP is Not the Problem, It's y...   | https://www.philschmid.de/mcp-best-practices?utm_source=tldrai
========================================================================================================================
